City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
326,Port Lincoln,AU,-34.7333,135.8667,61.72,77,100,10.94,light rain
327,Tres Picos,MX,15.8667,-93.5333,90.59,52,1,8.39,clear sky
328,Xining,CN,36.6167,101.7667,52.45,68,41,1.7,scattered clouds
329,Mtambile,TZ,-5.3833,39.7,79.07,76,97,13.56,overcast clouds
330,Sal Rei,CV,16.1833,-22.9167,77.2,61,20,19.57,few clouds
331,Thinadhoo,MV,0.5333,72.9333,84.11,74,100,11.5,overcast clouds
332,Umm Lajj,SA,25.0213,37.2685,80.73,58,12,9.78,few clouds
333,Vestmannaeyjar,IS,63.4427,-20.2734,56.39,62,0,6.91,clear sky
334,Harstad,NO,68.799,16.5293,52.99,97,100,3.0,overcast clouds
335,College,US,64.8569,-147.8028,58.21,41,0,4.61,clear sky
336,Ivanishchi,RU,55.7742,40.4273,39.38,63,78,8.59,broken clouds
337,Asfi,MA,32.2994,-9.2372,70.86,67,98,23.0,overcast clouds
338,Ciudad Bolivar,VE,8.1222,-63.5497,87.28,52,95,8.88,overcast clouds
339,Lompoc,US,34.6391,-120.4579,65.93,79,20,5.75,mist
340,Aktau,KZ,43.65,51.2,61.38,70,1,19.93,clear sky
341,Kamenka,RU,51.3223,42.7678,45.05,95,100,13.33,light rain
342,Victoria,HK,22.2855,114.1577,78.85,82,100,13.0,overcast clouds
343,Lorengau,PG,-2.0226,147.2712,82.53,72,93,10.49,overcast clouds
344,Touros,BR,-5.1989,-35.4608,82.63,72,39,14.09,scattered clouds
345,Tiarei,PF,-17.5333,-149.3333,75.22,74,21,14.74,few clouds
346,Ejura,GH,7.3856,-1.3562,77.5,75,97,7.23,overcast clouds
347,Sistranda,NO,63.7256,8.834,58.96,75,93,14.99,overcast clouds
348,Lazaro Cardenas,MX,17.9583,-102.2,82.78,64,55,7.76,broken clouds
349,Sabzevar,IR,36.2126,57.6819,74.48,19,0,0.0,clear sky
350,Syracuse,IT,37.0881,15.2792,78.31,65,0,7.23,clear sky
351,Saint-Pierre,RE,-21.3393,55.4781,71.28,73,0,5.75,clear sky
352,Cartagena,CO,10.3997,-75.5144,91.02,62,20,8.05,few clouds
353,Dickinson,US,29.4608,-95.0513,80.76,74,100,4.0,overcast clouds
354,Mayo,US,38.8876,-76.5119,90.36,65,0,11.5,clear sky
355,Kota Tinggi,MY,1.7381,103.8999,80.64,91,62,1.36,broken clouds
356,Sept-Iles,CA,50.2001,-66.3821,56.05,73,75,4.61,broken clouds
357,Akyab,MM,20.15,92.9,84.07,81,40,7.25,scattered clouds
358,Kainantu,PG,-6.2887,145.8655,60.24,94,77,1.1,broken clouds
359,Tolaga Bay,NZ,-38.3667,178.3,55.56,66,1,9.51,clear sky
360,Kavieng,PG,-2.5744,150.7967,82.8,69,70,16.8,broken clouds
361,Sao Raimundo Das Mangabeiras,BR,-7.0219,-45.4811,90.28,40,21,8.43,few clouds
362,Ayan,RU,56.45,138.1667,31.71,90,98,2.91,overcast clouds
363,Bellevue,US,47.6104,-122.2007,64.51,63,0,1.99,clear sky
364,Marquette,US,46.5333,-87.6335,44.04,87,99,7.47,light rain
365,Szirmabesenyo,HU,48.15,20.8,63.36,63,86,8.39,overcast clouds
366,Rognan,NO,67.0953,15.3878,57.76,60,100,3.18,overcast clouds
367,Pedro Juan Caballero,PY,-22.5472,-55.7333,67.96,52,0,9.22,clear sky
368,Constitucion,CL,-35.3333,-72.4167,55.76,75,100,8.43,moderate rain
369,Chateaubelair,VC,13.2833,-61.25,84.72,70,40,13.8,scattered clouds
370,Preobrazheniye,RU,42.9019,133.9064,50.88,89,4,4.65,clear sky
371,Altamira,BR,-3.2033,-52.2064,87.89,58,40,4.61,scattered clouds
372,Pasrur,PK,32.2641,74.6634,89.62,21,5,15.5,clear sky
373,Cananeia,BR,-25.0147,-47.9267,69.85,66,3,6.26,clear sky
374,Chipata,ZM,-13.6333,32.65,67.98,61,45,2.98,scattered clouds
375,Murgab,TM,37.4966,61.9714,67.87,52,0,0.0,clear sky
376,Vila Do Maio,CV,15.1333,-23.2167,79.59,78,59,14.85,broken clouds
377,Ternate,ID,0.8,127.4,81.34,77,100,3.42,overcast clouds
378,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,65,7,8.99,clear sky
379,Port Hawkesbury,CA,45.6169,-61.3485,71.89,80,100,7.0,overcast clouds
380,Lampazos De Naranjo,MX,27.0167,-100.5167,85.69,57,82,5.61,broken clouds
381,Marsa Matruh,EG,31.3525,27.2453,71.8,73,0,16.11,clear sky
382,San Rafael,AR,-34.6177,-68.3301,71.04,16,91,9.01,overcast clouds
383,Dicabisagan,PH,17.0818,122.4157,78.89,86,95,6.53,overcast clouds
384,Lewisporte,CA,49.2499,-55.0482,55.11,72,100,9.89,overcast clouds
385,Naze,JP,28.3667,129.4833,63.52,75,99,4.79,overcast clouds
386,Rochester,US,43.1548,-77.6156,79.72,71,75,16.11,broken clouds
387,Buta,CD,2.7858,24.73,76.98,75,100,1.03,overcast clouds
388,Zhanaozen,KZ,43.3,52.8,61.14,45,2,14.14,clear sky
389,Tonantins,BR,-2.8731,-67.8022,78.57,83,100,2.95,overcast clouds
390,Bilma,NE,18.6853,12.9164,98.17,7,15,6.67,few clouds
391,Ketchikan,US,55.3422,-131.6461,55.71,53,89,5.06,overcast clouds
392,Aldama,MX,22.9167,-98.0667,88.38,43,13,4.12,few clouds
393,Itarema,BR,-2.9248,-39.9167,82.9,73,63,8.77,broken clouds
394,Auki,SB,-8.7676,160.7034,77.41,88,16,3.4,few clouds
395,Sur,OM,22.5667,59.5289,93.9,44,3,6.87,clear sky
396,Sanjwal,PK,33.7608,72.4336,86.49,19,89,5.12,overcast clouds
397,Windhoek,NA,-22.5594,17.0832,66.69,24,0,6.91,clear sky
398,Gizo,SB,-8.103,156.8419,81.84,75,14,4.21,few clouds
399,Hovd,MN,48.0056,91.6419,65.59,20,100,1.59,overcast clouds
400,Izhma,RU,65.0083,53.9113,33.51,96,100,13.58,snow
401,Bingol,TR,38.8847,40.4939,60.69,49,67,2.48,broken clouds
402,Faya,SA,18.3851,42.4509,78.91,29,2,6.58,clear sky
403,Laredo,US,27.5064,-99.5075,70.09,83,100,14.97,overcast clouds
404,Carutapera,BR,-1.195,-46.02,82.92,74,18,4.03,few clouds
405,Port Alberni,CA,49.2413,-124.8028,61.12,68,57,0.83,broken clouds
406,Arawa,PG,-6.2132,155.5367,75.81,89,34,1.19,scattered clouds
407,Cozumel,MX,20.5083,-86.9458,87.94,76,29,11.01,scattered clouds
408,Anadyr,RU,64.75,177.4833,36.1,87,0,6.71,clear sky
409,Taiobeiras,BR,-15.8078,-42.2331,80.78,28,0,5.75,clear sky
410,Belinskiy,RU,52.9647,43.4165,46.17,71,100,14.76,overcast clouds
411,Minab,IR,27.1467,57.0801,91.72,46,0,2.3,haze
412,Leningradskiy,RU,69.3833,178.4167,30.67,95,100,5.77,overcast clouds
413,Srednekolymsk,RU,67.45,153.6833,48.15,55,100,7.78,overcast clouds
414,Tabou,CI,4.423,-7.3528,77.38,80,99,5.82,overcast clouds
415,Ukiah,US,39.1502,-123.2078,76.44,40,63,3.0,broken clouds
416,Bridlington,GB,54.0831,-0.1919,58.51,83,100,12.41,overcast clouds
417,Bagotville,AU,-28.9833,153.4167,58.64,82,100,8.52,overcast clouds
418,Nong Phai,TH,15.9903,101.0618,74.97,91,96,3.6,overcast clouds
419,Bull Savanna,JM,17.8868,-77.5902,83.89,64,100,16.51,overcast clouds
420,Qasigiannguit,GL,68.8193,-51.1922,33.24,99,100,4.18,light snow
421,Bambanglipuro,ID,-7.95,110.2833,77.88,87,94,4.0,overcast clouds
