City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
476,Salalah,OM,81.14,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
483,Nacala,MZ,74.32,clear sky,-14.5428,40.6728,Nacala Plaza Business Design Hotel
484,Hambantota,LK,80.04,clear sky,6.1241,81.1185,Bungalow 63
485,Sambava,MG,74.93,light rain,-14.2667,50.1667,Melrose
487,Santiago Del Estero,AR,75.79,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
488,Santa Barbara,US,72.34,few clouds,34.7333,-120.0343,Upper Ballard Campground
489,Madingou,CG,78.53,overcast clouds,-4.1536,13.55,HOTEL KIM ELISA
491,Namatanai,PG,79.79,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
495,Karratha,AU,78.04,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
498,Lambarene,GA,77.47,light rain,-0.7001,10.2406,Le Refuge
503,Seydi,TM,72.81,clear sky,39.4816,62.9137,Seydi oteli
506,Pekalongan,ID,79.86,moderate rain,-6.8886,109.6753,Hotel Sahid Mandarin Pekalongan
510,Mahon,ES,81.16,clear sky,39.8885,4.2658,ARTIEM Capri
511,Tutoia,BR,82.76,light rain,-2.7619,-42.2744,Pousada Guará's
512,San Jose,US,75.54,clear sky,37.3394,-121.895,The Westin San Jose
523,Vanimo,PG,78.12,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
526,Sao Felix Do Xingu,BR,89.33,clear sky,-6.6447,-51.995,Rio Xingu Camping
527,Briceno,CO,79.56,scattered clouds,7.111,-75.5515,Hotel Yonadis
528,Nha Trang,VN,80.6,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
532,Fethiye,TR,71.47,overcast clouds,36.6217,29.1164,Club & Hotel Letoonia
533,Hue,VN,80.71,scattered clouds,16.4667,107.6,Saigon Morin Hotel
534,The Valley,AI,85.1,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
535,Saint-Joseph,RE,70.18,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
536,Lubango,AO,76.86,clear sky,-14.9172,13.4925,Hotel Serra da Chela
544,Balikpapan,ID,79.79,moderate rain,-1.2675,116.8289,Swiss-Belhotel Balikpapan
545,Contai,IN,85.1,broken clouds,21.7786,87.7536,PATHFINDER
547,Melendugno,IT,76.05,scattered clouds,40.2747,18.3368,Alba Bed & Breakfast Melendugno
548,Puerto Ayacucho,VE,84.52,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
549,Cassilandia,BR,79.66,scattered clouds,-19.1133,-51.7342,Delirius Motel
565,Hami,CN,81.01,overcast clouds,42.8,93.45,Laoyutang Resort
573,Koumac,NC,75.18,broken clouds,-20.5667,164.2833,Le Monitel
574,Barra Do Garcas,BR,86.4,clear sky,-15.89,-52.2567,Pousada Tropical
576,San Cristobal,VE,78.98,few clouds,7.7669,-72.225,Pirineos
577,Digby,CA,72.55,broken clouds,44.6169,-65.7655,Digby Pines Golf Resort and Spa
579,Myitkyina,MM,74.59,scattered clouds,25.3833,97.4,Shwe Phyu Hotel
586,Patiya,BD,79.7,scattered clouds,22.2931,91.9762,Simon and marup bila
587,Kuching,MY,80.82,scattered clouds,1.55,110.3333,Hilton Kuching
589,Rio Grande,BR,73.51,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
590,Katakwi,UG,72.3,light rain,1.8911,33.9661,Homestay Katakwi
591,Rodrigues Alves,BR,84.4,overcast clouds,-7.738,-72.6509,Pousada Aconchego
592,Bahia Honda,CU,88.18,overcast clouds,22.9036,-83.1592,Casa Gualberto - Deysi
593,Inegol,TR,70.88,few clouds,40.0781,29.5133,Hotel Park Inegöl
594,Concepcion Del Oro,MX,78.66,clear sky,24.6333,-101.4167,Hotel Hacienda San Javier
598,Constanza,DE,75.58,broken clouds,47.6603,9.1758,Hotel Gästehaus Centro
601,Miguel Hidalgo,MX,80.01,clear sky,19.4225,-99.2028,JW Marriott Hotel Mexico City
603,Road Town,VG,84.24,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
605,Safaga,EG,81.91,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
606,Camalu,MX,70.88,few clouds,30.85,-116.0667,La Cueva del Pirata
608,Puerto Maldonado,PE,77.4,broken clouds,-12.6,-69.1833,Wasai Hotel
609,Porto Novo,BJ,82.22,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
610,Borgo San Lorenzo,IT,79.63,scattered clouds,43.9553,11.3835,Park Hotel Ripaverde
613,Tucuman,AR,71.6,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
616,Pitimbu,BR,79.39,light rain,-7.4706,-34.8086,Reserva do Abiaí
617,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
619,Waddan,LY,85.19,clear sky,29.1614,16.139,محل الشريف محمد العايب
620,Nantucket,US,75.15,clear sky,41.2835,-70.0995,Jared Coffin House
627,Yanam,IN,85.01,clear sky,16.7333,82.2167,The Regency Hotel
629,Sola,VU,80.71,few clouds,-13.8833,167.55,Leumerus Bungalows
630,Itaituba,BR,86.16,broken clouds,-4.2761,-55.9836,Hotel Campos
632,Matara,LK,79.02,few clouds,5.9485,80.5353,Amaloh Boutique Resort
637,Bathsheba,BB,83.25,broken clouds,13.2167,-59.5167,Atlantis Hotel
639,Sawakin,SD,85.08,clear sky,19.1059,37.3321,فندق الدويم
640,Centralina,BR,78.17,clear sky,-18.5839,-49.1994,MM Plaza Hotel
647,Aborlan,PH,79.12,overcast clouds,9.4352,118.5492,Kevina Transient House
648,Lat Yao,TH,77.5,overcast clouds,15.751,99.7893,โรงแรมสอระ
649,Lithakia,GR,72.77,clear sky,37.7167,20.8333,Zante Plaza Hotel & Apartments
652,Milas,TR,72.75,few clouds,37.3164,27.7839,Milashan Hotel
653,Changping,CN,74.84,broken clouds,40.2186,116.2197,Huachang Hotel
655,Banjar,ID,77.85,overcast clouds,-8.19,114.9675,The Hamsa Resort
